# Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
# High resolution irradiance spectrum from 300 to 1000 nm.
# Thuillier et al (2004) calibration
# Kurucz.harvard.edu/sun/irradiance2005/irradthu.dat
#  
#  (tails left on to allow broadening)
#  
#      nm    W/m**2/nm
#     927476   2.45147  max   revised 02jan2010
  299.24797  0.21433
  299.24829  0.18520
  299.24862  0.15965
  299.24894  0.13796
  299.24927  0.12001
  299.24960  0.10510
  299.24992  0.09253
  299.25025  0.08204
  299.25058  0.07388
  299.25090  0.06878
  299.25123  0.06739
  299.25156  0.07015
  299.25188  0.07748
  299.25221  0.08908
  299.25254  0.10510
  299.25286  0.12623
  299.25319  0.15247
  299.25351  0.18423
  299.25384  0.22041
  299.25417  0.25990
  299.25449  0.30079
  299.25482  0.34138
  299.25515  0.38033
  299.25547  0.41666
  299.25580  0.44980
  299.25613  0.47962
  299.25645  0.50600
  299.25678  0.52893
  299.25711  0.54785
  299.25743  0.56263
  299.25776  0.57243
  299.25808  0.57644
  299.25841  0.57437
  299.25874  0.56621
  299.25906  0.55213
  299.25939  0.53321
  299.25972  0.50973
  299.26004  0.48253
  299.26037  0.45159
  299.26070  0.41734
  299.26102  0.38088
  299.26135  0.34346
  299.26168  0.30631
  299.26200  0.27095
  299.26233  0.23836
  299.26265  0.20936
  299.26298  0.18492
  299.26331  0.16628
  299.26363  0.15482
  299.26396  0.15122
  299.26429  0.15577
  299.26461  0.16724
  299.26494  0.18395
  299.26527  0.20426
  299.26559  0.22649
  299.26592  0.24913
  299.26625  0.27123
  299.26657  0.29126
  299.26690  0.30796
  299.26723  0.32067
  299.26755  0.32896
  299.26788  0.33269
  299.26820  0.33269
  299.26853  0.32882
  299.26886  0.32150
  299.26918  0.31045
  299.26951  0.29651
  299.26984  0.28103
  299.27016  0.26598
  299.27049  0.25300
  299.27082  0.24292
  299.27114  0.23546
  299.27147  0.22925
  299.27180  0.22289
  299.27212  0.21545
  299.27245  0.20705
  299.27277  0.19779
  299.27310  0.18785
  299.27343  0.17708
  299.27375  0.16505
  299.27408  0.15152
  299.27441  0.13674
  299.27473  0.12224
  299.27506  0.10898
  299.27539  0.09807
  299.27571  0.08964
  299.27604  0.08384
  299.27637  0.08025
  299.27669  0.07984
  299.27702  0.08357
  299.27735  0.09337
  299.27767  0.11050
  299.27800  0.13605
  299.27832  0.17003
  299.27865  0.21133
  299.27898  0.25925
  299.27930  0.31216
  299.27963  0.36851
  299.27996  0.42666
  299.28028  0.48426
  299.28061  0.53909
  299.28094  0.58951
  299.28126  0.63412
  299.28159  0.67280
  299.28192  0.70580
  299.28224  0.73384
  299.28257  0.75774
  299.28290  0.77749
  299.28322  0.79324
  299.28355  0.80484
  299.28388  0.81298
  299.28420  0.81838
  299.28453  0.82196
  299.28485  0.82445
  299.28518  0.82611
  299.28551  0.82666
  299.28583  0.82583
  299.28616  0.82349
  299.28649  0.81989
  299.28681  0.81589
  299.28714  0.81202
  299.28747  0.80898
  299.28779  0.80650
  299.28812  0.80429
  299.28845  0.80180
  299.28877  0.79904
  299.28910  0.79655
  299.28943  0.79490
  299.28975  0.79448
  299.29008  0.79475
  299.29041  0.79434
  299.29073  0.79130
  299.29106  0.78357
  299.29138  0.77017
  299.29171  0.75111
  299.29204  0.72804
  299.29236  0.70318
  299.29269  0.67832
  299.29302  0.65484
  299.29334  0.63329
  299.29367  0.61368
  299.29400  0.59614
  299.29432  0.58136
  299.29465  0.57044
  299.29498  0.56450
  299.29530  0.56423
  299.29563  0.56962
  299.29596  0.57956
  299.29628  0.59282
  299.29661  0.60815
  299.29694  0.62459
  299.29726  0.64172
  299.29759  0.65926
  299.29791  0.67721
  299.29824  0.69476
  299.29857  0.71120
  299.29889  0.72569
  299.29922  0.73757
  299.29955  0.74696
  299.29987  0.75415
  299.30020  0.75953
  299.30053  0.76354
  299.30085  0.76589
  299.30118  0.76658
  299.30151  0.76534
  299.30183  0.76299
  299.30216  0.76050
  299.30249  0.75886
  299.30281  0.75850
  299.30314  0.75896
  299.30347  0.75965
  299.30379  0.76033
  299.30412  0.76130
  299.30445  0.76351
  299.30477  0.76793
  299.30510  0.77525
  299.30542  0.78451
  299.30575  0.79432
  299.30608  0.80302
  299.30640  0.80951
  299.30673  0.81379
  299.30706  0.81628
  299.30738  0.81808
  299.30771  0.81974
  299.30804  0.82154
  299.30836  0.82360
  299.30869  0.82568
  299.30902  0.82761
  299.30934  0.82969
  299.30967  0.83189
  299.31000  0.83397
  299.31032  0.83604
  299.31065  0.83783
  299.31098  0.83894
  299.31130  0.83921
  299.31163  0.83866
  299.31196  0.83756
  299.31228  0.83618
  299.31261  0.83438
  299.31294  0.83148
  299.31326  0.82692
  299.31359  0.81988
  299.31392  0.81020
  299.31424  0.79846
  299.31457  0.78521
  299.31489  0.77111
  299.31522  0.75633
  299.31555  0.73989
  299.31587  0.72138
  299.31620  0.70052
  299.31653  0.67786
  299.31685  0.65466
  299.31718  0.63228
  299.31751  0.61100
  299.31783  0.59097
  299.31816  0.57164
  299.31849  0.55257
  299.31881  0.53447
  299.31914  0.51762
  299.31947  0.50270
  299.31979  0.48971
  299.32012  0.47811
  299.32045  0.46747
  299.32077  0.45794
  299.32110  0.44938
  299.32143  0.44206
  299.32175  0.43529
  299.32208  0.42797
  299.32241  0.41899
  299.32273  0.40766
  299.32306  0.39398
  299.32339  0.37837
  299.32371  0.36152
  299.32404  0.34397
  299.32437  0.32574
  299.32469  0.30654
  299.32502  0.28623
  299.32534  0.26496
  299.32567  0.24313
  299.32600  0.22171
  299.32632  0.20169
  299.32665  0.18373
  299.32698  0.16867
  299.32730  0.15721
  299.32763  0.14905
  299.32796  0.14395
  299.32828  0.14105
  299.32861  0.13980
  299.32894  0.14036
  299.32926  0.14243
  299.32959  0.14615
  299.32992  0.15058
  299.33024  0.15472
  299.33057  0.15762
  299.33090  0.15887
  299.33122  0.15969
  299.33155  0.16246
  299.33188  0.16936
  299.33220  0.18193
  299.33253  0.20045
  299.33286  0.22352
  299.33318  0.24964
  299.33351  0.27729
  299.33384  0.30547
  299.33416  0.33353
  299.33449  0.36061
  299.33482  0.38561
  299.33514  0.40758
  299.33547  0.42554
  299.33580  0.43922
  299.33612  0.44945
  299.33645  0.45635
  299.33678  0.46050
  299.33710  0.46160
  299.33743  0.45898
  299.33776  0.45248
  299.33808  0.44267
  299.33841  0.43079
  299.33874  0.41808
  299.33906  0.40523
  299.33939  0.39197
  299.33972  0.37718
  299.34004  0.36005
  299.34037  0.33988
  299.34069  0.31722
  299.34102  0.29304
  299.34135  0.26803
  299.34167  0.24303
  299.34200  0.21788
  299.34233  0.19288
  299.34265  0.16801
  299.34298  0.14438
  299.34331  0.12242
  299.34363  0.10265
  299.34396  0.08470
  299.34429  0.06797
  299.34461  0.05222
  299.34494  0.03800
  299.34527  0.02611
  299.34559  0.01782
  299.34592  0.01782
  299.34625  0.01782
  299.34657  0.01782
  299.34690  0.01782
  299.34723  0.01782
  299.34755  0.01782
  299.34788  0.01782
  299.34821  0.01782
  299.34853  0.01782
  299.34886  0.02225
  299.34919  0.03247
  299.34951  0.04394
  299.34984  0.05734
  299.35017  0.07336
  299.35049  0.09257
  299.35082  0.11468
  299.35115  0.13844
  299.35147  0.16276
  299.35180  0.18680
  299.35213  0.21014
  299.35245  0.23308
  299.35278  0.25560
  299.35311  0.27785
  299.35343  0.29996
  299.35376  0.32150
  299.35409  0.34278
  299.35441  0.36378
  299.35474  0.38423
  299.35507  0.40385
  299.35539  0.42223
  299.35572  0.43936
  299.35605  0.45594
  299.35637  0.47266
  299.35670  0.48992
  299.35703  0.50761
  299.35735  0.52502
  299.35768  0.54063
  299.35801  0.55403
  299.35833  0.56522
  299.35866  0.57490
  299.35899  0.58388
  299.35931  0.59244
  299.35964  0.60059
  299.35997  0.60791
  299.36029  0.61427
  299.36062  0.62021
  299.36095  0.62643
  299.36127  0.63320
  299.36160  0.63983
  299.36193  0.64564
  299.36225  0.64978
  299.36258  0.65254
  299.36291  0.65462
  299.36323  0.65752
  299.36356  0.66209
  299.36389  0.66823
  299.36421  0.67517
  299.36454  0.68180
  299.36487  0.68760
  299.36519  0.69271
  299.36552  0.69769
  299.36585  0.70294
  299.36617  0.70819
  299.36650  0.71316
  299.36683  0.71744
  299.36715  0.72076
  299.36748  0.72339
  299.36781  0.72546
  299.36813  0.72698
